"audition_date","audition_city","audition_venue","season","episodes","episode_air_date","callback_venue","callback_audition_date","tickets_to_hollywood","guest_judge","filming_dates","filming_venue"
"August 11, 2013","Omaha, Nebraska","CenturyLink Center",13,NA,"January 30, 2014","CenturyLink Center Omaha","October 13–14, 2013","21",NA,NA,NA
"August 2, 2013","Boston, Massachusetts","Gillette Stadium",13,NA,"January 15, 2014","Boston Marriott Copley Place","September 3–4, 2013","25",NA,NA,NA
"August 7, 2013","Austin, Texas","Frank Erwin Center",13,NA,"January 15, 2014","Austin Convention Center ","September 25–26, 2013","35",NA,NA,NA
"August 7, 2013","Austin, Texas","Frank Erwin Center",13,NA,"January 16, 2014","Austin Convention Center ","September 25–26, 2013","35",NA,NA,NA
"July 11, 2013","Salt Lake City, Utah","EnergySolutions Arena",13,NA,"January 29, 2014","Marriott Hotel at City Creek","October 2–3, 2013","30",NA,NA,NA
"July 16, 2013","San Francisco, California","AT&T Park",13,NA,"January 16, 2014","Westin St. Francis","October 21–22, 2013","19",NA,NA,NA
"July 21, 2013","Detroit, Michigan","Ford Field",13,NA,"January 22, 2014","Book-Cadillac Hotel","October 8–9, 2013","40",NA,NA,NA
"July 26, 2013","Atlanta, Georgia","Gwinnett Center",13,NA,"January 23, 2014","W Atlanta Midtown","October 29–30, 2013","44",NA,NA,NA
"July 23, 2014","Uniondale, New York","Nassau Veterans Memorial Coliseum",14,NA,"January 15, 2015","Marriott Hotel in Downtown BrooklynA","September 16–17, 2014",NA,NA,NA,NA
"July 30, 2014","Nashville, Tennessee","Nashville Municipal Auditorium",14,NA,"January 7–8, 2015","Music City Center","August 3–4, 2014",NA,NA,NA,NA
"July 9–21, 2014","Bus tour – various citiesB","Various",14,NA,"January 8 & 14, 2015","Bartle Hall Convention Center, Kansas City","August 13–14, 2014",NA,NA,NA,NA
"June 18, 2014","Minneapolis, Minnesota","Mariucci Arena",14,NA,"January 21, 2015","Minneapolis Convention Center","September 24–25, 2014",NA,NA,NA,NA
"June 25, 2014","New Orleans, Louisiana","Lakefront Arena",14,NA,"January 22, 2015","Morial Convention Center","August 26–27, 2014",NA,NA,NA,NA
"September 29, 2014","San Francisco, California","Cow Palace",14,NA,"January 28–29, 2015","Westin St. Francis","October 3–4, 2014",NA,NA,NA,NA
"August 2, 2015","Philadelphia, Pennsylvania","Liacouras Center",15,NA,"January 13, 2016","Pennsylvania Convention Center","August 15–16, 2015",NA,NA,NA,NA
"August 8, 2015","Little Rock, Arkansas","Verizon Arena",15,NA,"January 7, 2016","Statehouse Convention Center","August 22–23, 2015",NA,NA,NA,NA
"July 10, 2015","Denver, Colorado","Denver Coliseum",15,NA,"January 6, 2016","Colorado Convention Center","September 26–27, 2015",NA,NA,NA,NA
"July 22, 2015","Savannah, Georgia","Martin Luther King, Jr. Arena",15,NA,"January 6, 2016","W Midtown Hotel, Atlanta","September 13–14, 2015",NA,NA,NA,NA
"July 9–21, 2015","Bus tour – various citiesA","Various",15,NA,"January 14, 2016","","",NA,NA,NA,NA
"September 15, 2015","Daly City, California","Cow Palace",15,NA,"January 7, 2016","Westin St. Francis","October 10–11, 2015",NA,NA,NA,NA
"November 16–17, 2017","Los Angeles, California","Hollywood and Highland Center",16,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"October 14, 2017","New Orleans, Louisiana","Mardi Gras World",16,"2, 4, 5",NA,NA,NA,NA,NA,NA,NA
"October 19–20, 2017","Nashville, Tennessee","Country Music Hall of Fame and Museum",16,"1, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"October 28–29, 2017","Savannah, Georgia","Kehoe Iron Works",16,"2, 3, 5",NA,NA,NA,NA,NA,NA,NA
"October 3–4, 2017","New York City, New York","Madison Square Garden",16,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"November 8–10, 2018","Los Angeles, California","Hollywood and Highland Center",17,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"October 14–15, 2018","Coeur d'Alene, Idaho","Hagadone Events Center at the Coeur d'Alene Resort",17,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"October 2, 2018","Denver, Colorado","Wings Over the Rockies Air and Space Museum",17,"1, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"October 22–24, 2018","Louisville, Kentucky","Muhammad Ali Center",17,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"October 29–30, 2018","New York City, New York","Madison Square Garden",17,"1, 3, 4, 5",NA,NA,NA,NA,NA,NA,NA
"August 20, 2019","Mobile, Alabama","GulfQuest Maritime Museum 2",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 20, 2019","Mobile, Alabama","Mobile Convention Center 1",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 23, 2019","Macon, Georgia","Macon City Auditorium",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 23, 2019","Santa Barbara, California","Santa Barbara Veterans Memorial Building",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 23, 2019","Tallahassee, Florida","Donald L. Tucker Civic Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 25, 2019","Baton Rouge, Louisiana","Hilton Baton Rouge Capitol Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 26, 2019","Columbia, South Carolina","Pastides Alumni Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 26, 2019","Las Vegas, Nevada","Cambridge Recreation Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 27, 2019","Waco, Texas","Waco Convention Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 29, 2019","Knoxville, Tennessee","Knoxville Convention Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"August 29, 2019","Salt Lake City, Utah","Salt Lake City Northwest Community Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"July 23, 2019","New York City, New York","Brooklyn Expo Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"June 7, 2019","Nashville, Tennessee","CMA Music Festival",18,NA,NA,NA,NA,NA,NA,NA,NA
"June 8, 2019","Nashville, Tennessee","CMA Music Festival",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 1, 2019","Colorado Springs, Colorado","Colorado Springs Auditorium",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 1, 2019","Raleigh, North Carolina","Duke Energy Center for the Performing Arts",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 10, 2019","Detroit, Michigan","Cobo Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 18, 2019","Nashville, Tennessee","Nashville Municipal Auditorium",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 21, 2019","Chicago, Illinois","Wintrust Arena",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 4, 2019","Washington, D.C.","Ronald Reagan Building",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 4, 2019","Wichita, Kansas","Century II Performing Arts & Convention Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 6, 2019","San Jose, California","San Jose Convention Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 7, 2019","Pittsburgh, Pennsylvania","David L. Lawrence Convention Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 7, 2019","Springfield, Illinois","B.O.S. Center",18,NA,NA,NA,NA,NA,NA,NA,NA
"September 8, 2019","Spokane, Washington","Grand Hotel Davenport – Autograph Collection",18,NA,NA,NA,NA,NA,NA,NA,NA
"November 18–20, 2002","Los Angeles, California","Rose Bowl",2,NA,"January 22, 2003","Renaissance Hollywood Hotel",NA,"45",NA,NA,NA
"November 2–6, 2002","Miami, Florida","Fontainebleau Hilton Hotel",2,NA,"January 21, 2003","Fontainebleau Hilton Hotel",NA,"20",NA,NA,NA
"November 6–10, 2002","Austin, Texas","Doubletree Hotel",2,NA,"January 21, 2003","Hyatt Regency",NA,"36",NA,NA,NA
"October 21, 2002","Detroit, Michigan","Atheneum Suites Hotel",2,NA,"January 22, 2003","Atheneum Suites Hotel",NA,"22",NA,NA,NA
"October 24–28, 2002","New York, New York","Regent Wall Street Hotel",2,NA,"January 21, 2003","Rhiga Royal Hotel",NA,"35",NA,NA,NA
"October 27, 2002","Atlanta, Georgia","AmericasMart",2,NA,"January 28, 2003","Callanwolde Fine Arts Center",NA,"46",NA,NA,NA
"October 30, 2002","Nashville, Tennessee","Nashville Municipal Auditorium",2,NA,"January 28, 2003","Wildhorse Saloon",NA,"30",NA,NA,NA
"August 13, 2003","Houston, Texas","Minute Maid Park",3,"3",NA,NA,NA,"13",NA,"September 4–5, 2003","InterContinental Houston"
"August 20, 2003","Atlanta, Georgia","Georgia Dome",3,"2",NA,NA,NA,"24",NA,"September 2003","Atlanta Convention Center at AmericasMart"
"August 25, 2003","New York City, New York","Jacob K. Javits Convention Center",3,"1",NA,NA,NA,"29",NA,"August 29, 2003","Waldorf-Astoria Hotel"
"August 3, 2003","Los Angeles, California","Rose Bowl",3,"4",NA,NA,NA,"25",NA,"September 2003","Renaissance Hollywood Hotel"
"September 22, 2003","San Francisco, California","Pac Bell Park",3,"4",NA,NA,NA,"10",NA,"September 2003","Renaissance Parc 55 Hotel"
"September 30, 2003","Honolulu, Hawaii","Aloha Stadium",3,"5",NA,NA,NA,"17",NA,"October 4–5, 2003","Sheraton Waikiki Hotel"
"August 18, 2004","Washington, D.C.","Washington Convention Center",4,NA,"January 18, 2005","Renaissance Hotel Ninth St.","August 20–21, 2004","42",NA,NA,NA
"August 26, 2004","Orlando, Florida","Orange County Convention Center",4,NA,"February 1, 2005","MGM Grand, Las Vegas","September 14, 2004","16",NA,NA,NA
"August 31, 2004","New Orleans, Louisiana","Louisiana Superdome",4,NA,"January 25, 2005","The Roosevelt (Fairmont)","September 4–5, 2004","16",NA,NA,NA
"August 4, 2004","Cleveland, Ohio","Cleveland Browns Stadium",4,NA,"February 1, 2005","Intercontinental Cleveland","August 14–15, 2004","32",NA,NA,NA
"August 8, 2004","St. Louis, Missouri","Edward Jones Dome",4,NA,"January 19, 2005","Hilton St. Louis at the Ballpark","August 2004","32",NA,NA,NA
"October 5, 2004","San Francisco, California","Cow Palace",4,NA,"February 2, 2005","The Regency Center","October 7–8, 2004","32",NA,NA,NA
"September 12, 2004","Las Vegas, Nevada","Orleans Arena",4,NA,"January 26, 2005","MGM Grand Conference Center","September 15–16, 2004","24",NA,NA,NA
"August 18, 2005","San Francisco, California","Cow Palace",5,NA,"January 25, 2006","Parc 55 Hotel","","18",NA,NA,NA
"August 25–26, 2005","Austin, Texasa","Frank Erwin Center",5,NA,"February 1, 2006","Parc 55 Hotel, San Francisco","September 28, 2005","12",NA,NA,NA
"August 31, 2005","Boston, Massachusetts","Gillette Stadium",5,NA,"February 7, 2006","Seaport Hotel and World Trade Center","October 27, 2005","28",NA,NA,NA
"October 10–11, 2005","Las Vegas, Nevada","Las Vegas Convention Center",5,NA,"January 31, 2006","Renaissance Las Vegas","October 12–13, 2005","11",NA,NA,NA
"October 3, 2005","Greensboro, North Carolina","Greensboro Coliseum",5,NA,"January 24, 2006","Marriott Downtown","October 6, 2005","33",NA,NA,NA
"September 11, 2005","Denver, Colorado","Invesco Field at Mile High",5,NA,"January 18, 2006","Colorado Convention Center","","37",NA,NA,NA
"September 16, 2005","Chicago, Illinois","Soldier Field",5,NA,"January 17, 2006","W Hotel","September 20, 2005","34",NA,NA,NA
"August 11, 2006","San Antonio, Texas","Alamodome",6,NA,"February 6, 2007","Henry B. Gonzalez Convention Center","August 26, 2006","24",NA,NA,NA
"August 14, 2006","New York City, New York","Continental Airlines Arena, East Rutherford",6,NA,"January 24, 2007","Chelsea Piers, New York","August 30, 2006","35",NA,NA,NA
"August 21, 2006","Birmingham, Alabama","Birmingham Jefferson Convention Complex",6,NA,"January 30, 2007","Sheraton Hotel","September 29–30, 2006","20",NA,NA,NA
"August 6, 2006","Los Angeles, California","Rose Bowl, Pasadena",6,NA,"January 31, 2007","Millennium Biltmore Hotel","September 26, 2006","40",NA,NA,NA
"September 19, 2006","Seattle, Washington","KeyArena",6,NA,"January 17, 2007","W Hotel","October 2–3, 2006","14",NA,NA,NA
"September 3, 2006","Memphis, Tennessee","FedEx Forum",6,NA,"January 23, 2007","Memphis Cook Convention Center","October 5–6, 2006","22",NA,NA,NA
"September 8, 2006","Minneapolis, Minnesota","Target Center",6,NA,"January 16, 2007","Minneapolis Convention Center","September 12, 2006","17",NA,NA,NA
"August 10, 2007","Omaha, Nebraska","Qwest Center Omaha",7,NA,"January 29, 2008","Qwest Convention Center","October 5–6, 2007","19",NA,NA,NA
"August 14, 2007","Atlanta, Georgia","Georgia Dome",7,NA,"February 5, 2008","Georgia International Convention Center","October 8–10, 2007","21",NA,NA,NA
"August 18, 2007","Charleston, South Carolina","North Charleston Coliseum",7,NA,"January 23, 2008","Charleston Area Convention Center","September 6–7, 2007","23",NA,NA,NA
"August 22, 2007","Miami, Florida","American Airlines Arena",7,NA,"January 30, 2008","JW Marriott Hotel","September 29–30, 2007","17",NA,NA,NA
"August 27, 2007","Philadelphia, Pennsylvania","Wachovia Center",7,NA,"January 15, 2008","Hyatt Regency","September 1–2, 2007","29",NA,NA,NA
"August 6, 2007","Dallas, Texas","Texas Stadium",7,NA,"January 16, 2008","W Hotel Dallas Victory","September 20–23, 2007","24",NA,NA,NA
"July 30, 2007","San Diego, California","Qualcomm Stadium",7,NA,"January 22, 2008","Rancho Bernardo Inn","September 12–13, 2007","31",NA,NA,NA
"August 13, 2008","Jacksonville, Florida","Jacksonville VeteransMemorial Arena",8,NA,"January 27, 2009","Amelia Island Plantation","September 3, 2008","16",NA,NA,NA
"August 19, 2008","New York City, New York","Izod Center, East Rutherford",8,NA,"January 29, 2009","Chelsea Piers, New York","August 26, 2008","26",NA,NA,NA
"August 2, 2008","San Juan, Puerto Rico","Coliseo de Puerto Rico",8,NA,"January 29, 2009","Conrad San Juan Condado Plaza","September 2008","9",NA,NA,NA
"August 8, 2008","Kansas City, Missouri","Kemper Arena",8,NA,"January 14, 2009","Firestone Building","October 5, 2008","27",NA,NA,NA
"July 17, 2008","San Francisco, California","Cow Palace",8,NA,"January 20, 2009","Westin St. Francis","September 13, 2008","12",NA,NA,NA
"July 21, 2008","Louisville, Kentucky","Freedom Hall",8,NA,"January 21, 2009","Churchill Downs","September 7–8, 2008","19",NA,NA,NA
"July 25, 2008","Phoenix, Arizona","Jobing.com Arena, Glendale",8,NA,"January 13, 2009","The Boulders, Scottsdale","September 2008","27",NA,NA,NA
"July 29, 2008","Salt Lake City, Utah","EnergySolutions Arena",8,NA,"January 28, 2009","Wells Fargo Center","September 18–19, 2008","13",NA,NA,NA
"July 14, 2009","Denver, Colorado","Invesco Field",9,NA,"February 2, 2010","Grand Hyatt","August 7 & 8, 2009","26","Victoria Beckham",NA,NA
"July 9, 2009","Orlando, Florida","Amway Arena",9,NA,"January 20, 2010","Rosen Shingle Creek Resort","August 28 & 29, 2009","31","Kristin Chenoweth",NA,NA
"June 14, 2009","Boston, Massachusetts","Gillette Stadium",9,NA,"January 12, 2010","60 State Street","August 13 & 14, 2009","32","Victoria Beckham",NA,NA
"June 18, 2009","Atlanta, Georgia","Georgia Dome",9,NA,"January 13, 2010","W Hotel Atlanta Midtown","August 16 & 17, 2009","25","Mary J. Blige",NA,NA
"June 22, 2009","Chicago, Illinois","United Center",9,NA,"January 19, 2010","Hyatt Regency Chicago","August 31 & September 1, 2009","13","Shania Twain",NA,NA
"June 26, 2009","Dallas, Texas","Cowboys Stadium",9,NA,"January 27, 2010","W Hotel Dallas Victory","August 24, 2009","31","Joe Jonas",NA,NA
"June 26, 2009","Dallas, Texas","Cowboys Stadium",9,NA,"January 27, 2010","W Hotel Dallas Victory","August 25, 2009","31","Neil Patrick Harris",NA,NA
"June 30, 2009","Los Angeles, California","Rose Bowl Stadium",9,NA,"January 26, 2010","Marina del Rey Marriott","September 3, 2009","23","Katy Perry",NA,NA
"June 30, 2009","Los Angeles, California","Rose Bowl Stadium",9,NA,"January 26, 2010","Marina del Rey Marriott","September 4, 2009","23","Avril Lavigne",NA,NA
